"","baseMean","log2FoldChange","lfcSE","pvalue","padj","adjusted_padj"
"Lsr",4023.18641181667,1.41015171873924,0.112922603994765,6.30932549534226e-37,2.08871029411189e-34,5.27338709286973e-32
"Ssr3",7670.78406851247,-0.893800388786018,0.0717919299747739,1.67037125629209e-36,5.39154082249678e-34,1.32696331450797e-31
"Pdia6",20237.0948305487,-1.16669997788428,0.0946487035073463,3.52777656318344e-36,1.11090544407955e-33,2.68352239155338e-31
"Surf4",12098.7871531109,-0.956381878143136,0.0787877704743943,4.4809646998123e-35,1.37746988664944e-32,3.16155595743417e-30
"H13",6812.88147024688,-0.883079531901857,0.07308715877999,1.42564809472123e-34,4.28059129091763e-32,9.4639762139819e-30
"Gmppa",2076.29709650483,-0.852487450380606,0.0707225104822938,2.19980501684603e-34,6.45492785738616e-32,1.40333717690607e-29
"Oat",4247.64559040892,-0.862807398456955,0.0722317755507255,8.02181516551255e-34,2.30154790226517e-31,4.74469468427414e-29
"Il1rn",7700.85854096316,1.01242723461389,0.0865253048853215,6.6832292633292e-33,1.87580810910529e-30,3.6160590509171e-28
"Aldh9a1",5755.27725376488,-0.593613481384189,0.050733448384037,1.64290758670401e-32,4.51310209615648e-30,8.55260166241606e-28
"Cdc42ep3",4961.0053955907,1.8778204032517,0.161607545277896,2.14026270692172e-32,5.75686079355549e-30,1.08570232980341e-27
"Clec10a",78.273593045676,-3.28806469410021,0.283630613988407,3.89374533361858e-32,1.02596216331326e-29,1.9118560636637e-27
"Mgl2",61.9534368108492,-5.28178897426048,0.452749159756024,4.46963076381108e-32,1.1541480558313e-29,2.14053440136711e-27
"Pram1",223.550380718305,2.7223653247087,0.23715878997031,9.07196487310831e-32,2.29663016620983e-29,4.18018736252509e-27
"Matk",187.028449879278,-3.37173816549269,0.293100239432333,1.26632740886565e-31,3.14414484151239e-29,5.6311130472725e-27
"Acaa1b",3115.10661128722,1.90345453079102,0.167043702858344,1.30006614754763e-31,3.16701019452593e-29,5.65911460924125e-27
"Atf5",2873.37037512555,-1.74700069987333,0.152384239271904,1.90152260381118e-31,4.46373787960112e-29,7.83315939203725e-27
"Agap1",3569.85067779145,1.67745692929362,0.146979427608457,1.87923922768007e-31,4.46373787960112e-29,7.83315939203725e-27
"Atp5b",38328.6209087226,-0.866845594606822,0.07718761874547,3.47438236247563e-30,7.86978082138998e-28,1.24683454608686e-25
"Aco2",8348.26459365326,-1.00287310133057,0.0893455067934776,3.46865955304202e-30,7.86978082138998e-28,1.24683454608686e-25
"Matn2",3860.29468818406,1.13513409330419,0.102455059703116,1.02483551344466e-29,2.28131919208344e-27,3.50785320014936e-25
"Id1",609.229613714409,2.64460092206009,0.243780911697526,5.29253535249985e-29,1.15816820230721e-26,1.70066027245359e-24
"Rassf5",5736.59210702907,0.998672497244555,0.09139055490807,6.3675253719017e-29,1.37018533461038e-26,1.99706871818252e-24
"Pygo2",3905.54031352432,0.861126300662243,0.0787329699362255,6.66600590841737e-29,1.41089839809142e-26,2.05251624581827e-24
"Siglecf",11174.608034882,1.27929180145265,0.117679118148754,7.88402223631431e-29,1.64178404988797e-26,2.37077251750058e-24
"Dnajb11",8056.16880288807,-1.04187806299792,0.0955249939814777,8.321563498175e-29,1.7053921638879e-26,2.45808882318324e-24
"Slc39a7",6161.35407419605,-0.878071572201448,0.08046790445192,1.24805489575296e-28,2.51775574360413e-26,3.53778583534867e-24
"Tc2n",667.922861824173,1.8244597010893,0.170737122430342,4.86986389304673e-28,9.67304811125021e-26,1.29857767319916e-23
"Stt3a",7410.22736118354,-0.737394754092678,0.0682675651672677,5.23535441138546e-28,1.02414637583936e-25,1.36784710326695e-23
"Hyou1",13374.0449632088,-1.51299772881642,0.141042490495235,7.30175638602969e-28,1.40705935373178e-25,1.85708106878873e-23
"Fastk",1861.22787724644,-0.949762366725407,0.0883813530027635,7.45497847435295e-28,1.41545922179957e-25,1.86502241503982e-23
"Ccr5",1553.40367386458,-2.09837771387487,0.19754993333268,2.87506400604374e-27,5.37970309884504e-25,6.75839233923284e-23
"Erp44",3738.16060024982,-0.859875031578518,0.0813404150193849,3.83285932434181e-27,7.06943524808244e-25,8.79644545511003e-23
"Sdha",11193.1757312554,-0.597934108766503,0.0565363126028849,5.31623680426238e-27,9.66731456053965e-25,1.19529548403665e-22
"Ppib",4150.525474516,-0.88215879104198,0.0836567209860821,6.34352311746769e-27,1.1375170412448e-24,1.40203005905615e-22
"Cope",5044.37687094491,-1.02100588862224,0.0968460422764438,6.52461759111282e-27,1.15396353039531e-24,1.42006461745156e-22
"Creld2",4198.93174498153,-1.84280492788283,0.175349315319594,6.91767646333424e-27,1.20694757862309e-24,1.48293499511012e-22
"Nlrp3",1741.24367661947,1.7074167851149,0.164195742679596,8.55984479869842e-27,1.47354874927994e-24,1.78527502184433e-22
"Fam89a",848.601507383165,1.23676569863518,0.118865518561109,1.1681827051366e-26,1.98452722447614e-24,2.38955396539769e-22
"Htr2c",623.154576104904,1.49284540473054,0.144774218645035,3.04717038119457e-26,5.10935283007833e-24,6.04975202116354e-22
"Spag11b",455.010433884355,2.01985370667058,0.196651148534454,3.72335790684181e-26,6.1631120429788e-24,7.25356582189141e-22
"Idh3a",2533.10618805842,-0.932486678821838,0.0908905105689146,9.0430036140823e-26,1.47790151470148e-23,1.70352636155561e-21
"Rab44",5100.88333691471,1.10633589896327,0.108332817708635,1.0014838525625e-25,1.6162697525543e-23,1.85754726069625e-21
"Kif5a",100.654057333181,-2.67376083504271,0.261026164434506,1.12239788249238e-25,1.78904679763692e-23,2.04709848923759e-21
"Cldn1",2723.49480882465,-1.57331863957293,0.154008338268201,1.7465874154606e-25,2.75002318548925e-23,3.10581983601012e-21
"Best1",850.886816243051,1.21100282173135,0.119628856033499,2.40702342383207e-25,3.74422643675853e-23,4.19836140830005e-21
"Dnpep",1472.81524462991,-0.78660607932268,0.0770011123578474,2.4884087169564e-25,3.82474344578859e-23,4.28250887736895e-21
"Plpp5",814.111747645294,-1.23161046465101,0.12132373220094,3.00648328655047e-25,4.56667126031213e-23,5.08414072346499e-21
"C5ar2",668.888004164807,1.5967682240253,0.158904283643359,4.38497373236684e-25,6.58306928588236e-23,7.23638343720321e-21
"Csf1",454.902762698988,-2.89358460783335,0.286690577659102,5.74817073443371e-25,8.43396160643704e-23,9.19348800960169e-21
"Spcs3",4743.69266678829,-0.747734056460349,0.0740841505461354,5.74849834533699e-25,8.43396160643704e-23,9.19348800960169e-21
